AB.A.delta.h.T3,AB.A.delta.l.T4,AB.A.delta.c.F7,AB.A.delta.g.F8,AB.B.theta.h.T3,AB.B.theta.l.T4,AB.B.theta.c.F7,AB.B.theta.g.F8,AB.C.alpha.h.T3,AB.C.alpha.l.T4,AB.C.alpha.c.F7,AB.C.alpha.g.F8,AB.D.beta.h.T3,AB.D.beta.l.T4,AB.D.beta.c.F7,AB.D.beta.g.F8,AB.E.highbeta.h.T3,AB.E.highbeta.l.T4,AB.E.highbeta.c.F7,AB.E.highbeta.g.F8,AB.F.gamma.h.T3,AB.F.gamma.l.T4,AB.F.gamma.c.F7,AB.F.gamma.g.F8,COH.A.delta.h.T3.l.T4,COH.A.delta.c.F7.g.F8,COH.B.theta.h.T3.l.T4,COH.B.theta.c.F7.g.F8,COH.C.alpha.h.T3.l.T4,COH.C.alpha.c.F7.g.F8,COH.D.beta.h.T3.l.T4,COH.D.beta.c.F7.g.F8,COH.E.highbeta.h.T3.l.T4,COH.E.highbeta.c.F7.g.F8,COH.F.gamma.h.T3.l.T4,COH.F.gamma.c.F7.g.F8
8.026819,7.54526,38.89608,11.829168,9.582882,9.015938,28.650189,15.786275,63.556859,55.67818,123.976917,108.055611,16.352313,15.622303,29.231674,21.870351,1.468245,1.393905,3.260383,1.517569,3.382984,2.723172,5.270599,2.92387,7.02581,15.170144,6.352411,31.694519,11.622682,57.363586,4.658569,26.7748,29.076003,31.915257,45.926623,40.676036
19.14784,24.106552,23.32487,19.318979,17.732086,14.22468,20.264402,16.05759,28.946709,22.563078,30.747148,29.055482,14.543142,13.02866,15.1679,13.922979,1.125876,1.234006,1.285449,1.245998,0.876232,1.046879,1.029926,0.937555,9.798409,28.471477,6.410244,38.225786,5.916849,47.542638,3.60871,32.261298,1.762288,18.046527,2.924985,31.097257
15.022326,16.390588,40.949235,26.353639,8.893864,12.799412,15.953222,16.31621,31.27695,38.367079,55.86867,56.279443,5.101898,9.902673,8.615257,8.318221,1.061882,1.412774,1.905033,1.50639,1.43972,1.452219,2.203379,1.664134,0.13606,0.91487,8.835609,28.35365,10.506735,40.452088,4.230957,27.66943,15.006552,33.479481,18.679872,29.129475
5.892405,14.596898,13.874704,20.665805,2.794093,6.40695,5.071004,6.40421,9.771027,8.741763,14.480387,12.215555,6.638083,7.301947,6.245934,9.62475,1.773544,1.421044,1.212554,2.258109,2.96506,1.762549,1.24203,3.133732,38.684208,32.025173,33.311946,38.418671,28.345181,65.548452,22.416797,43.384606,40.528488,40.568982,51.769205,51.706377
10.04719,14.868741,15.091074,17.374619,6.32303,11.357259,9.737239,12.825498,5.855774,10.676761,9.839907,12.035235,4.614651,9.09457,12.236043,9.510658,0.585984,1.112576,2.403981,1.190957,0.606077,0.975026,5.909509,1.133192,56.803851,45.480481,48.2381,47.885428,82.203011,92.307323,42.29879,51.917037,54.424057,58.216707,54.06957,57.830379
7.794405,13.099044,11.829555,13.453879,7.930189,14.198512,11.531737,15.88796,68.217819,78.658908,93.540649,95.040665,13.600094,22.704529,15.37707,23.090178,0.92147,1.491171,1.131467,1.488592,0.526017,0.773263,0.611329,0.77114,17.985859,36.231825,3.911324,39.507531,1.858471,71.412697,1.929903,38.864816,6.764878,40.015147,13.187479,50.177764
4.643903,2.749062,9.62733,9.33574,2.802775,2.05409,4.870655,6.154432,9.14686,4.077084,14.043913,11.609842,6.590048,3.134707,7.522005,7.644628,1.487341,0.784478,1.776369,1.743786,3.177146,1.154382,2.676478,2.439591,11.56734,22.084251,7.811722,31.255282,7.93721,48.339674,3.292925,21.204039,1.143877,13.713384,8.85949,21.612089
10.791723,7.984322,12.455193,9.794286,21.740756,9.927816,23.935445,16.660965,34.432287,20.538684,44.842615,33.590518,21.04744,14.788907,43.643619,23.57216,2.772712,1.655127,6.553146,3.149713,2.787431,1.488332,2.897675,2.149456,9.378439,24.235911,17.394198,42.278613,14.376357,57.19659,19.439453,34.546825,13.716083,13.285571,18.736386,14.114217
12.490481,6.687449,17.863425,9.657933,10.649666,5.649222,15.422614,9.349244,15.383143,6.00384,21.304497,12.022943,7.445639,3.484731,11.987704,5.992097,1.387401,0.646172,2.578792,1.25987,1.332759,0.665443,2.539305,1.191673,50.899752,54.439365,35.062358,57.643882,25.09674,56.678732,29.247447,46.93248,30.257278,44.448684,37.817409,42.051121
17.640138,17.580784,25.9124,19.173514,13.186024,11.815774,24.652341,12.46493,6.293791,6.702021,9.877541,7.349685,6.865442,7.3292,12.519695,8.114225,1.425611,1.515778,1.853571,1.680191,2.251544,2.54866,2.382215,2.285261,0.040474,2.273542,9.150939,32.717633,40.762973,78.511386,0.87281,18.503813,2.226508,1.187088,0.217216,21.062768
